Status,Date Captured,Exact Question,Quora URL,Parent Hub,Related Hubs,Primary KB Concept,Evidence Needed,Answer Type,Article Candidate,Score,Decision,Notes
Captured,2026-06-08,What is ATP in simple terms?,,ATP,Cellular Energy;Mitochondria,CONCEPT-002-ATP.md,No,Definition,Yes,,Promote candidate,Seed example
Mapped,2026-06-08,Why am I tired even after sleeping 8 hours?,,Fatigue,Sleep;Cellular Energy;Mitochondria,CONCEPT-001-Cellular-Energy.md,Yes,Explainer,Yes,29,Promote to article and FAQ,Needs fatigue biology foundation pack
Captured,2026-06-08,What is the difference between breathing and cellular respiration?,,Cellular Energy,Mitochondria;Bioenergetics,CONCEPT-004-Oxidative-Phosphorylation.md,No,Comparison,Yes,,FAQ/article candidate,From existing Quora batch theme
Mapped,2026-06-08,"Why can't all muscles evolve to have high mitochondrial density, like cardiac muscle (but still be connected to the voluntary nervous system), so we never get tired?",,Mitochondria,Fatigue;Cellular Energy;ATP;Bioenergetics;Recovery,CONCEPT-003-Mitochondria.md,Yes,Mechanism/Comparison,Yes,29,Promote to article and FAQ,Shows mitochondrial density is related to tiredness but also biological tradeoffs
Mapped,2026-06-08,Why cardiac muscle are nonfatigue?,,Mitochondria,Cellular Energy;ATP;Bioenergetics;Microcirculation;Fatigue,CONCEPT-003-Mitochondria.md,Yes,Mechanism/Comparison,Yes,28,Promote to article and FAQ,Better wording: Why is cardiac muscle fatigue-resistant?
Clustered,2026-06-08,Why do cardiac muscles not get tired like striated muscles?,,Mitochondria,Fatigue;Cellular Energy;ATP,CONCEPT-003-Mitochondria.md,Yes,Mechanism/Comparison,Yes,Duplicate,Use existing answer,Duplicate title variant for cardiac fatigue resistance
Clustered,2026-06-08,Why does a cardiac muscle and smooth muscle never get fatigued?,,Mitochondria,Fatigue;Cellular Energy;Smooth Muscle,TBD,Yes,Mechanism/Comparison,Maybe,Duplicate/Caution,Use as FAQ variant,Question wording is overgeneralized; correct "never fatigued" to "fatigue-resistant"
Mapped,2026-06-08,What causes cardiac muscle fatigue?,,Mitochondria,Cellular Energy;ATP;Bioenergetics;Microcirculation,CONCEPT-003-Mitochondria.md,Yes,Mechanism,Yes,27,Promote to article and FAQ,Distinct high-value question about oxygen supply-demand and cardiac energy failure
Archived,2026-06-08,"Can sufficiently-precise nanotechnology (e.g five-9s uptime) reverse mitochondrial fatigue and confer immortality onto mankind?",,Healthy Aging,Mitochondria;Cellular Energy;Longevity,TBD,Yes,Speculative,No,12,Archive or answer cautiously,Speculative immortality framing; do not use as XIHE authority/article topic
Mapped,2026-06-08,"Why do some people still feel constantly tired even after getting enough sleep, and could poor cellular or mitochondrial health be part of the reason?",,Fatigue,Sleep;Cellular Energy;Mitochondria;ATP;Inflammation;Metabolism,CONCEPT-001-Cellular-Energy.md,Yes,Medical-adjacent explainer,Yes,29,Promote to article and FAQ,Use medical caution; fatigue has many possible causes and should not be reduced to mitochondria
Mapped,2026-06-08,"I'm 26 and often feel weak and tired. I eat a balanced diet, do light exercise, have no medical issues, and have a normal weight. What could be wrong?",,Fatigue,Sleep;Cellular Energy;Mitochondria;Mental Health;Medical Evaluation,CONCEPT-001-Cellular-Energy.md,Yes,Medical-adjacent caution,Maybe,24,Answer cautiously,Do not diagnose; recommend provider evaluation for persistent fatigue
Captured,2026-06-10,Why do I still feel tired after enough sleep?,,Sleep,Recovery;Cellular Energy;Mitochondria;Fatigue,CONCEPT-001-Cellular-Energy.md,Yes,Explainer,Yes,29,Promote to article and FAQ,Core Sleep hub question
Captured,2026-06-10,Why do I wake up tired?,,Sleep,Recovery;Fatigue;Cellular Energy,CONCEPT-001-Cellular-Energy.md,Yes,Explainer,Yes,28,Promote to article and FAQ,Strong sleep-quality question
Captured,2026-06-10,Why does sleep affect recovery?,,Sleep,Recovery;Cellular Energy;Mitochondria,CONCEPT-001-Cellular-Energy.md,No,Mechanism,Yes,28,Promote to article and FAQ,Bridge between Sleep and Recovery
Captured,2026-06-10,What happens during deep sleep?,,Sleep,Recovery;Metabolism;Mitochondria,CONCEPT-001-Cellular-Energy.md,No,Mechanism,Yes,27,Promote to article and FAQ,Strong educational article candidate
Captured,2026-06-10,Why can't I sleep deeply?,,Sleep,Recovery;Inflammation;Metabolism,CONCEPT-001-Cellular-Energy.md,Yes,Explainer,Maybe,26,Use as FAQ,Restorative sleep question
Captured,2026-06-10,How does sleep affect cellular energy?,,Sleep,Cellular Energy;ATP;Mitochondria,CONCEPT-001-Cellular-Energy.md,No,Explainer,Yes,27,Promote to article and FAQ,Clear knowledge-graph bridge
Captured,2026-06-10,Can poor sleep affect mitochondria?,,Sleep,Mitochondria;Cellular Energy;Recovery,CONCEPT-003-Mitochondria.md,Yes,Mechanism,Maybe,25,Use as FAQ,Medical-adjacent mechanism question
