Company,Website,Location,Type,Email,Phone,Relevance,Notes
"Beacon Orthopaedics & Sports Medicine","https://www.beaconortho.com/","Cincinnati/Dayton/NKY/IN","Orthopedics + sports medicine","","513-354-3700","5","Large practice with sports medicine, PT, imaging, and athlete partnerships"
"US Cryotherapy","https://uscryotherapy.com/","Danville CA / Davis CA / Roseville CA / Kalamazoo MI / Fort Hood TX / Salt Lake City UT","Recovery + wellness chain","","","5","Existing recovery stack; strong fit for premium complementary recovery equipment"
"Riser Physical","https://www.riserphysical.com/","New York City NY","Physical therapy + sports medicine","","","4","PT clinic with sports medicine focus and urban patient base"
"Fox Physical Therapy","https://foxpt.com/","Miami FL / Boca Raton FL / Denver CO","Physical therapy + rehab","","","4","Premium care positioning and multi-location structure"
"Plano Orthopedic & Sports Medicine Center","https://www.posmc.com/","Plano TX","Orthopedics + sports medicine","","","5","Full-service ortho practice with rehab and physical medicine support"
"Empower Health","https://empowerhealth.ca/","Vancouver BC","Integrative health clinic","","","4","Integrative care model with multiple therapies"
"Red Leaf Wellness","https://redleafwellness.ca/","Edmonton AB","Integrative medical clinic","","","4","Medical clinic plus integrative positioning in Canada"
"Miraval Resorts and Spas","https://www.miravalresorts.com/","Tucson AZ / Austin TX / Berkshires MA / The Red Sea","Luxury wellness resort","","844-477-5439","4","High-end wellness destination; good for premium deployment or partnership"
"Brookdale Bayshore","https://www.brookdale.com/en/communities/brookdale-bayshore.html","Tampa FL","Senior living community","","813-835-4475","3","Assisted and independent living with a wellness angle"
"Brookdale Oakwell","https://www.brookdale.com/en/communities/brookdale-oakwell.html","San Antonio TX","Senior living community","","210-820-8744","3","Assisted living and memory care; potential premium wellness add-on"
"New Vitae Wellness and Recovery","https://www.newvitaewellness.com/","Multiple locations","Wellness + recovery center","","","3","Mental health and recovery positioning; use carefully and keep claims conservative"
