Quora Theme,Example Question,Parent Hub,Primary KB Source,Secondary KB Sources,Use As,Notes
ATP,What is ATP in simple terms?,ATP,02-SCIENCE/00-CELLULAR-SYSTEM/P0-Cellular-Energy-Foundation-Pack/CONCEPT-002-ATP.md,CONCEPT-001-Cellular-Energy.md;CONCEPT-003-Mitochondria.md,Article title or FAQ,Strong foundation topic
Mitochondria,What do mitochondria do?,Mitochondria,02-SCIENCE/00-CELLULAR-SYSTEM/P0-Cellular-Energy-Foundation-Pack/CONCEPT-003-Mitochondria.md,CONCEPT-002-ATP.md;CONCEPT-004-Oxidative-Phosphorylation.md,Article title,Core hub topic
Cellular respiration,What is the difference between breathing and cellular respiration?,Cellular Energy,02-SCIENCE/00-CELLULAR-SYSTEM/P0-Cellular-Energy-Foundation-Pack/CONCEPT-004-Oxidative-Phosphorylation.md,CONCEPT-002-ATP.md;CONCEPT-003-Mitochondria.md,Article title or FAQ,Good human question
Microcirculation,Why does blood flow matter for energy?,Microcirculation,02-SCIENCE/00-CELLULAR-SYSTEM/P0-Cellular-Energy-Foundation-Pack/CONCEPT-005-Microcirculation.md,CONCEPT-001-Cellular-Energy.md;CONCEPT-003-Mitochondria.md,Article title,Strong bridge concept
Fatigue,Why am I tired after sleeping?,Fatigue,TBD,TBD,Article title,Needs fatigue concept pack
Persistent fatigue after sleep,"Why do I still feel tired after enough sleep?",Fatigue,02-SCIENCE/00-CELLULAR-SYSTEM/P0-Cellular-Energy-Foundation-Pack/CONCEPT-001-Cellular-Energy.md,CONCEPT-002-ATP.md;CONCEPT-003-Mitochondria.md;CONCEPT-005-Microcirculation.md,Article title and FAQ,Medical-adjacent; needs fatigue biology concept pack and provider-evaluation caution
Recovery,Why does recovery take longer as we age?,Recovery,TBD,TBD,Article title,Needs recovery and aging concept support
Graphene,What is graphene useful for?,Graphene FIR,02-SCIENCE/PAPER-DATABASE.md,04-SEO-KEYWORDS/Approved-Claims.md,Quora answer or article,Must avoid product claims
Muscle fatigue and mitochondria,"Why can't all muscles have high mitochondrial density like cardiac muscle?",Mitochondria,02-SCIENCE/00-CELLULAR-SYSTEM/P0-Cellular-Energy-Foundation-Pack/CONCEPT-003-Mitochondria.md,CONCEPT-001-Cellular-Energy.md;CONCEPT-002-ATP.md;CONCEPT-004-Oxidative-Phosphorylation.md;CONCEPT-005-Microcirculation.md,Article title and FAQ,Excellent bridge between mitochondria and tiredness; needs future muscle fiber concept note
Sleep,Why do I still feel tired after enough sleep?,Sleep,CONCEPT-001-Cellular-Energy.md,CONCEPT-002-ATP.md;CONCEPT-003-Mitochondria.md;CONCEPT-005-Microcirculation.md,Article title or FAQ,Core Sleep hub question
Sleep,Why do I wake up tired?,Sleep,CONCEPT-001-Cellular-Energy.md,CONCEPT-002-ATP.md;CONCEPT-003-Mitochondria.md,Article title or FAQ,Strong sleep-quality question
Sleep,Why does sleep affect recovery?,Sleep,CONCEPT-001-Cellular-Energy.md,CONCEPT-005-Microcirculation.md;CONCEPT-003-Mitochondria.md,Article title,Bridge between Sleep and Recovery
Sleep,What happens during deep sleep?,Sleep,CONCEPT-001-Cellular-Energy.md,CONCEPT-005-Microcirculation.md;CONCEPT-004-Oxidative-Phosphorylation.md,Article title or FAQ,High educational value
Sleep,How does sleep affect cellular energy?,Sleep,CONCEPT-001-Cellular-Energy.md,CONCEPT-002-ATP.md;CONCEPT-003-Mitochondria.md,Article title or FAQ,Clear knowledge-graph bridge
