page_url,page_title,issue_type,severity,recommended_fix,evidence
"/ABOUT/AboutMission.html","XIHE Mission — Restoring Baseline Homeostasis to Fragile Cellular Ecosystems","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 76 chars"
"/ABOUT/AboutMission.html","XIHE Mission — Restoring Baseline Homeostasis to Fragile Cellular Ecosystems","Low word count","medium","Expand the page or merge it with a better-supported sibling page so it has enough substance to rank.","Word count = 221"
"/ABOUT/AboutMission.html","XIHE Mission — Restoring Baseline Homeostasis to Fragile Cellular Ecosystems","Low text-to-HTML ratio","low","Reduce template chrome or add more substantive body copy so the page carries more crawlable text.","Text/HTML ratio = 0.066"
"/ABOUT/AboutOrigin.html","The Origin of XIHE — From Familial Struggle to Molecular Precision","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 66 chars"
"/ABOUT/AboutOrigin.html","The Origin of XIHE — From Familial Struggle to Molecular Precision","Low word count","medium","Expand the page or merge it with a better-supported sibling page so it has enough substance to rank.","Word count = 182"
"/ABOUT/AboutOrigin.html","The Origin of XIHE — From Familial Struggle to Molecular Precision","Low text-to-HTML ratio","low","Reduce template chrome or add more substantive body copy so the page carries more crawlable text.","Text/HTML ratio = 0.064"
"/ABOUT/AboutPhilosophy.html","XIHE Philosophy — From the Rhythm of Nature to the Cadence of Cellular Life","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 75 chars"
"/ABOUT/AboutPhilosophy.html","XIHE Philosophy — From the Rhythm of Nature to the Cadence of Cellular Life","Weak heading structure","medium","Add H2 sections to break the page into scannable topical blocks for users and AI systems.","No H2 found on a 446-word page"
"/ABOUT/AboutPhilosophy.html","XIHE Philosophy — From the Rhythm of Nature to the Cadence of Cellular Life","Low text-to-HTML ratio","low","Reduce template chrome or add more substantive body copy so the page carries more crawlable text.","Text/HTML ratio = 0.116"
"/ABOUT/AboutPhilosophy.html","XIHE Philosophy — From the Rhythm of Nature to the Cadence of Cellular Life","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/ABOUT/AboutPhilosophy.html","XIHE Philosophy — From the Rhythm of Nature to the Cadence of Cellular Life","Missing FAQ block","medium","Add 3-8 FAQ items that address likely follow-up questions and support AI retrieval.","FAQ string not found"
"/applications.html","Infrared Recovery & Wellness Applications — Professional Graphene Technology | XIHE","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 83 chars"
"/applications.html","Infrared Recovery & Wellness Applications — Professional Graphene Technology | XIHE","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/applications.html","Infrared Recovery & Wellness Applications — Professional Graphene Technology | XIHE","Missing FAQ block","medium","Add 3-8 FAQ items that address likely follow-up questions and support AI retrieval.","FAQ string not found"
